ID,Date,Time,Location,Gear,Habitat,Fecund Fem (Y/N),Length (mm)
-60,10/22/13,22:18,Split Rock,Benthic Sled,Benthic,N,14
-59,10/23/13,22:18,Split Rock,Benthic Sled,Benthic,Y,19
-58,10/24/13,22:18,Split Rock,Benthic Sled,Benthic,N,16
-57,10/25/13,22:18,Split Rock,Benthic Sled,Benthic,N,12
-56,10/26/13,22:18,Split Rock,Benthic Sled,Benthic,Y,17
-55,10/27/13,22:18,Split Rock,Benthic Sled,Benthic,N,14
-54,10/28/13,22:18,Split Rock,Benthic Sled,Benthic,N,15
-53,10/29/13,22:18,Split Rock,Benthic Sled,Benthic,N,14
-52,10/30/13,22:18,Split Rock,Benthic Sled,Benthic,N,11
-51,10/31/13,22:18,Split Rock,Benthic Sled,Benthic,N,19
-50,11/1/13,22:18,Split Rock,Benthic Sled,Benthic,N,14
-49,11/2/13,22:18,Split Rock,Benthic Sled,Benthic,N,17
-48,11/3/13,22:18,Split Rock,Benthic Sled,Benthic,Y,17
-47,11/4/13,22:18,Split Rock,Benthic Sled,Benthic,N,12
-46,11/5/13,22:18,Split Rock,Benthic Sled,Benthic,N,14
-45,11/6/13,22:18,Split Rock,Benthic Sled,Benthic,Y,18
-44,11/7/13,22:18,Split Rock,Benthic Sled,Benthic,N,16
-43,11/8/13,22:18,Split Rock,Benthic Sled,Benthic,N,9
-42,11/9/13,22:18,Split Rock,Benthic Sled,Benthic,Y,17
-41,11/10/13,22:18,Split Rock,Benthic Sled,Benthic,Y,21
-40,11/11/13,22:18,Split Rock,Benthic Sled,Benthic,N,12
-39,11/12/13,22:18,Split Rock,Benthic Sled,Benthic,N,13
-38,11/13/13,22:18,Split Rock,Benthic Sled,Benthic,Y,16
-37,11/14/13,22:18,Split Rock,Benthic Sled,Benthic,Y,15
-36,11/15/13,22:18,Split Rock,Benthic Sled,Benthic,N,14
-35,11/16/13,22:18,Split Rock,Benthic Sled,Benthic,Y,20
-34,11/17/13,22:18,Split Rock,Benthic Sled,Benthic,Y,17
-33,11/18/13,22:18,Split Rock,Benthic Sled,Benthic,Y,18
-32,11/19/13,22:18,Split Rock,Benthic Sled,Benthic,Y,16
-31,11/20/13,22:18,Split Rock,Benthic Sled,Benthic,Y,18
-30,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,11
-29,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,15
-28,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,10
-27,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,13
-26,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,12
-25,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,10
-24,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,10
-23,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,14
-22,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,13
-21,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,12
-20,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,11
-19,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,9
-18,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,12
-17,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,15
-16,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,16
-15,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,10
-14,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,12
-13,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,9
-12,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,9
-11,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,11
-10,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,12
-9,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,15
-8,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,10
-7,10/30/13,14:53,Main Lake North,Benthic Sled,Benthic,N,15
