idc,date,site,habitat,ID,dw,length,N,C,wtN,wtC,C:N,comments
sr4b,11.04,SR,B,111,5.87,14,12.7,-28.6,9.6,39.2,4.1,
sr4b,11.04,SR,B,131,9.52,15,13.8,-30.1,10.1,50.5,5,
sr4b,11.04,SR,B,133,6.04,15,12.7,-28.8,10.6,46.4,4.4,
sr4b,11.04,SR,B,139,8.89,15,14.2,-32,9.8,50.5,5.2,
sr4b,11.04,SR,B,141,7.80,16,12.8,-29.6,10.9,42.1,3.8,
sr4b,11.04,SR,B,160,6.66,14,12.6,-28.3,11.5,44.8,3.8,
sr4b,11.04,SR,B,164,11.56,16,14.3,-32.8,9.4,53.9,5.7,
sr4b,11.04,SR,B,171,9.02,15,13.3,-29.9,10.4,53.4,5.1,
sr4b,11.04,SR,B,198,6.79,14,12.6,-30.3,9.7,47.9,4.9,
sr4b,11.04,SR,B,203,10.65,16,14.6,-31.1,9.8,51.1,5.2,
ms4b,11.04,MS,B,217,9.53,15,13.1,-30.6,10.4,50.1,4.8,
ms4b,11.04,MS,B,225,8.79,15,13.6,-29.7,10.3,50.4,4.9,
ms4b,11.04,MS,B,237,5.36,13,13.4,-28.7,12,47.3,3.9,
ms4b,11.04,MS,B,238,6.51,14,13,-28.7,11.9,46.9,3.9,
ms4b,11.04,MS,B,246,7.03,13,12.9,-30.2,9.1,51.6,5.7,
ms4b,11.04,MS,B,248,6.01,14,12.7,-29.3,10.8,48.9,4.5,
ms4b,11.04,MS,B,273,10.04,15,13.4,-29.3,10.9,49.4,4.5,
ms4b,11.04,MS,B,275,6.24,14,13.4,-28.8,10.8,48.7,4.5,
ms4b,11.04,MS,B,285,6.08,13,12.3,-28.8,10.8,48,4.5,
ms4b,11.04,MS,B,300,12.48,16,13,-29.8,10.3,51.5,5,
ms4p,11.04,MS,P,306,3.25,13,,,,,,Sample lost while crimping.
ms4p,11.04,MS,P,310,6.69,13,13.3,-29.9,10.8,52.3,4.8,
ms4p,11.04,MS,P,324,5.57,13,13.9,-29.2,11.4,49.1,4.3,
ms4p,11.04,MS,P,341,5.18,15,12.8,-28.7,9.9,42.1,4.2,
ms4p,11.04,MS,P,355,5.41,13,12.5,-27.7,8.8,34.3,3.9,Weight percent values suspect. Use with caution.
ms4p,11.04,MS,P,361,3.76,14,12.2,-27.7,10,35.9,3.5,
ms4p,11.04,MS,P,372,5.83,15,14.1,-28,12.3,47.8,3.9,
ms4p,11.04,MS,P,376,3.96,15,13,-28.2,11.4,45.2,3.9,
ms4p,11.04,MS,P,392,4.70,14,13.3,-27.8,13.1,47.1,3.6,
ms4p,11.04,MS,P,398,2.72,15,14.4,-28.8,11,46.6,4.2,
sr13b,11.14,SR,B,410,9.02,16,15,-31,9.7,50.8,5.3,
sr13b,11.14,SR,B,429,5.69,13,13,-28.9,10.4,47.4,4.5,
sr13b,11.14,SR,B,446,7.00,14,13.5,-30.2,10.1,50.6,5,
sr13b,11.14,SR,B,459,4.97,14,12.9,-28,11.7,44.4,3.8,
sr13b,11.14,SR,B,467,6.39,14,13,-29.6,10.2,50.7,5,
sr13b,11.14,SR,B,469,7.84,16,13.2,-28.9,11,45.4,4.1,
sr13b,11.14,SR,B,479,5.82,15,13.8,-29.5,11.2,50.2,4.5,
sr13b,11.14,SR,B,483,11.99,16,14.4,-30.6,10.7,51.2,4.8,
sr13b,11.14,SR,B,491,4.38,16,12.6,-27.6,11.3,42.5,3.8,
sr13b,11.14,SR,B,499,8.05,16,12.7,-29.7,10.3,49.5,4.8,
sr13p,11.14,SR,P,507,6.01,16,14.4,-29.2,13,50.4,3.8,
