"","idc","date","site","habitat","ID","dw","length","N","C","wtN","wtC","C.N","comments","rep"
"11","ms4b",11.04,"MS","B",217,9.53,15,13.1,-30.6,10.4,50.1,4.8,"","1"
"12","ms4b",11.04,"MS","B",225,8.79,15,13.6,-29.7,10.3,50.4,4.9,"","2"
"13","ms4b",11.04,"MS","B",237,5.36,13,13.4,-28.7,12,47.3,3.9,"","3"
"14","ms4b",11.04,"MS","B",238,6.51,14,13,-28.7,11.9,46.9,3.9,"","4"
"15","ms4b",11.04,"MS","B",246,7.03,13,12.9,-30.2,9.1,51.6,5.7,"","5"
"16","ms4b",11.04,"MS","B",248,6.01,14,12.7,-29.3,10.8,48.9,4.5,"","6"
"17","ms4b",11.04,"MS","B",273,10.04,15,13.4,-29.3,10.9,49.4,4.5,"","7"
"18","ms4b",11.04,"MS","B",275,6.24,14,13.4,-28.8,10.8,48.7,4.5,"","8"
"19","ms4b",11.04,"MS","B",285,6.08,13,12.3,-28.8,10.8,48,4.5,"","9"
"20","ms4b",11.04,"MS","B",300,12.48,16,13,-29.8,10.3,51.5,5,"","10"
"22","ms4p",11.04,"MS","P",310,6.69,13,13.3,-29.9,10.8,52.3,4.8,"","2"
"23","ms4p",11.04,"MS","P",324,5.57,13,13.9,-29.2,11.4,49.1,4.3,"","3"
"24","ms4p",11.04,"MS","P",341,5.18,15,12.8,-28.7,9.9,42.1,4.2,"","4"
"26","ms4p",11.04,"MS","P",361,3.76,14,12.2,-27.7,10,35.9,3.5,"","6"
"27","ms4p",11.04,"MS","P",372,5.83,15,14.1,-28,12.3,47.8,3.9,"","7"
"28","ms4p",11.04,"MS","P",376,3.96,15,13,-28.2,11.4,45.2,3.9,"","8"
"29","ms4p",11.04,"MS","P",392,4.7,14,13.3,-27.8,13.1,47.1,3.6,"","9"
"30","ms4p",11.04,"MS","P",398,2.72,15,14.4,-28.8,11,46.6,4.2,"","10"
"31","sr13b",11.14,"SR","B",410,9.02,16,15,-31,9.7,50.8,5.3,"","1"
"32","sr13b",11.14,"SR","B",429,5.69,13,13,-28.9,10.4,47.4,4.5,"","2"
"33","sr13b",11.14,"SR","B",446,7,14,13.5,-30.2,10.1,50.6,5,"","3"
"34","sr13b",11.14,"SR","B",459,4.97,14,12.9,-28,11.7,44.4,3.8,"","4"
"35","sr13b",11.14,"SR","B",467,6.39,14,13,-29.6,10.2,50.7,5,"","5"
"36","sr13b",11.14,"SR","B",469,7.84,16,13.2,-28.9,11,45.4,4.1,"","6"
"37","sr13b",11.14,"SR","B",479,5.82,15,13.8,-29.5,11.2,50.2,4.5,"","7"
"38","sr13b",11.14,"SR","B",483,11.99,16,14.4,-30.6,10.7,51.2,4.8,"","8"
"39","sr13b",11.14,"SR","B",491,4.38,16,12.6,-27.6,11.3,42.5,3.8,"","9"
"40","sr13b",11.14,"SR","B",499,8.05,16,12.7,-29.7,10.3,49.5,4.8,"","10"
"41","sr13p",11.14,"SR","P",507,6.01,16,14.4,-29.2,13,50.4,3.8,"","1"
"42","sr13p",11.14,"SR","P",510,2.11,14,13.7,-28.2,12.6,47.3,3.8,"","2"
"43","sr13p",11.14,"SR","P",533,6.97,16,14.3,-28.7,12.3,47.1,3.8,"","3"
"44","sr13p",11.14,"SR","P",539,2.04,13,13.9,-28.5,12.7,46.6,3.6,"","4"
"45","sr13p",11.14,"SR","P",541,4.99,15,13.2,-28.1,12.1,45.1,3.7,"","5"
"46","sr13p",11.14,"SR","P",542,5.26,14,14.9,-30.5,12.2,49.7,4,"","6"
"47","sr13p",11.14,"SR","P",544,5.4,15,14.7,-30.3,11.9,46.7,3.9,"","7"
"48","sr13p",11.14,"SR","P",546,5.32,16,13.4,-29,11.6,47.7,4.1,"","8"
"49","sr13p",11.14,"SR","P",568,1.07,13,14.3,-28.7,13,47.1,3.6,"","9"
"50","sr13p",11.14,"SR","P",576,3.87,15,14.8,-30.3,13.5,49.3,3.6,"","10"
"51","ch14p",11.14,"CH","P",603,5.92,13,13.9,-29.4,11,46.8,4.2,"","1"
"52","ch14p",11.14,"CH","P",606,2.16,14,12.1,-28.5,10.6,43.8,4.1,"","2"
"53","ch14p",11.14,"CH","P",610,6.4,15,14.2,-30,11.2,52.1,4.6,"","3"
"54","ch14p",11.14,"CH","P",613,4.27,14,14,-29.3,11.3,47.3,4.2,"","4"
"55","ch14p",11.14,"CH","P",621,2.44,13,14.3,-29,12,47,3.9,"","5"
"56","ch14p",11.14,"CH","P",638,3.41,14,14.4,-28.6,13.5,49.1,3.6,"","6"
"57","ch14p",11.14,"CH","P",644,4.37,14,14.1,-29.4,10.8,49.1,4.5,"","7"
"58","ch14p",11.14,"CH","P",660,2.51,14,14.2,-28.8,12.2,47.2,3.9,"","8"
"59","ch14p",11.14,"CH","P",689,3.91,15,13.7,-28.4,13.4,48.2,3.6,"","9"
"60","ch14p",11.14,"CH","P",693,3.88,14,14.4,-29.2,11.7,49.1,4.2,"","10"
"61","ch14b",11.14,"CH","B",702,8.03,14,14.2,-29.4,10.5,49.6,4.7,"","1"
"62","ch14b",11.14,"CH","B",705,6,13,13.8,-29.4,11,48.2,4.3,"","2"
"63","ch14b",11.14,"CH","B",711,4.49,13,14.3,-28.9,11.8,47.1,4,"","3"
"64","ch14b",11.14,"CH","B",712,3.8,15,14,-29,11.3,48,4.2,"","4"
