date,site,habitat,ID,length,d34S vs. VCDT,mg S
,,,410,,4.02,22.4
,,,446,,3.74,23.1
,,,469,,3.37,33.4
,,,483,,3.92,24.9
,,,499,,3.76,25.4
,,,507,,3.68,26.7
,,,516,,3.36,24.2
,,,529,,3.97,15.6
,,,542,,3.62,26.7
,,,546,,3.72,19.4
,,,610,,3.74,27.9
,,,616,,3.97,23.4
,,,645,,4.08,14.6
,,,650,,3.62,26
,,,688,,3.53,27.4
,,,718,,3.86,23.4
,,,749,,3.41,27
,,,750,,3.77,25.5
,,,751,,3.23,17.4
,,,757,,3.89,29.4
,,,831,,3.57,30.4
,,,840,,3.83,22
,,,859,,3.94,23.4
,,,871,,4.19,23.5
,,,898,,3.88,21.3
,,,913,,4,26
,,,926,,4.04,29.3
,,,932,,3.89,34.6
,,,980,,3.63,29.2
,,,983,,3.91,23.4
,,,1003,,3.63,26.1
,,,1028,,2.76,19.2
,,,1035,,4.29,25.7
,,,1039,,3.99,24.7
,,,1080,,3.54,26.4
,,,1108,,2.49,26.9
,,,1138,,3.52,23.2
,,,1141,,3.7,20.3
,,,1143,,3.8,25.6
,,,1171,,3.62,21.7
,,,1209,,3.5,24.7
,,,1214,,3.63,24.5
,,,1217,,3.95,21.6
,,,1242,,3.68,27.6
,,,1297,,3.72,19.8
,,,1303,,3.61,26.9
,,,1309,,3.28,27.6
,,,1349,,3.82,18.7
,,,1395,,3.58,24.5
,,,1399,,3.64,23.1
,,,1410,,3.62,23.8
,,,1415,,3.36,23.5
,,,1418,,3.82,26.1
,,,1493,,3.53,21.4
,,,1499,,3.58,27.3
,,,1522,,3.83,25.6
,,,1540,,3.58,25.4
,,,1543,,3.87,23.8
,,,1550,,4.01,25.6
,,,1580,,3.73,28.3
